spname,spindex,totalarea,reservedarea,excludedarea,targetarea,totalocc,reservedocc,excludedocc,targetocc
94,0,533279,0,0,0,2376162,0,0,0
93,1,360988,0,0,0,2376162,0,0,0
92,2,1.26586e+06,0,0,0,2376162,0,0,0
91,3,289498,0,0,0,2376162,0,0,0
90,4,1.38528e+06,0,0,0,2376162,0,0,0
89,5,743975,0,0,0,2376162,0,0,0
88,6,1.25074e+06,0,0,0,2376162,0,0,0
87,7,432523,0,0,0,2376162,0,0,0
86,8,1.43866e+06,0,0,0,2376162,0,0,0
85,9,1.5133e+06,0,0,0,2376162,0,0,0
84,10,1.34596e+06,0,0,0,2376162,0,0,0
83,11,1.53582e+06,0,0,0,2376162,0,0,0
82,12,1.31963e+06,0,0,0,2376162,0,0,0
81,13,1.8348e+06,0,0,0,2376162,0,0,0
80,14,1.11012e+06,0,0,0,2376162,0,0,0
79,15,827507,0,0,0,2376162,0,0,0
78,16,739607,0,0,0,2376162,0,0,0
77,17,1.65919e+06,0,0,0,2376162,0,0,0
76,18,1.70871e+06,0,0,0,2376162,0,0,0
75,19,2.10786e+06,0,0,0,2376162,0,0,0
74,20,190906,0,0,0,2376162,0,0,0
73.22,1.90934e+06,0,0,0,2376162,0,0,0
72,22,.2293.8,0,0,0,2376162,0,0,0
71,23,583390,0,0,0,2376162,0,0,0
70,24,947274,0,0,0,2376162,0,0,0
69,25,1.68435e+06,0,0,0,2376162,0,0,0
68,26,1.31376e+06,0,0,0,2376162,0,0,0
67,27,358964,0,0,0,2376162,0,0,0
66,28,1.09937e+06,0,0,0,2376162,0,0,0
65,29,1.47977e+06,0,0,0,2376162,0,0,0
64,30,1.20399e+06,0,0,0,2376162,0,0,0
63,31,1.6399e+06,0,0,0,2376162,0,0,0
62,32,79552.1,0,0,0,2376162,0,0,0
61,33,1.40316e+06,0,0,0,2376162,0,0,0
60,34,1.27916e+06,0,0,0,2376162,0,0,0
59,35,1.31739e+06,0,0,0,2376162,0,0,0
58,36,1.42486e+06,0,0,0,2376162,0,0,0
57,37,1.66693e+06,0,0,0,2376162,0,0,0
56,38,296689,0,0,0,2376162,0,0,0
55,39,812944,0,0,0,2376162,0,0,0
54,40,1.56009e+06,0,0,0,2376162,0,0,0
53,41,563567,0,0,0,2376162,0,0,0
52,42,516779,0,0,0,2376162,0,0,0
51,43,296768,0,0,0,2376162,0,0,0
50,44,1.06058e+06,0,0,0,2376162,0,0,0
49,45,349082,0,0,0,2376162,0,0,0
48,46,1.22829e+06,0,0,0,2376162,0,0,0
47,47,97916.9,0,0,0,2376162,0,0,0
46,48,118397,0,0,0,2376162,0,0,0
45,49,944374,0,0,0,2376162,0,0,0
44,50,737805,0,0,0,2376162,0,0,0
43,51,518244,0,0,0,2376162,0,0,0
42,52,552209,0,0,0,2376162,0,0,0
41,53,797259,0,0,0,2376162,0,0,0
40,54,918044,0,0,0,2376162,0,0,0
39,55,962004,0,0,0,2376162,0,0,0
38,56,46088.8,0,0,0,2376162,0,0,0
37,57,1.06581e+06,0,0,0,2376162,0,0,0
36,58,1.52761e+06,0,0,0,2376162,0,0,0
35,59,817717,0,0,0,2376162,0,0,0
34,60,1.12425e+06,0,0,0,2376162,0,0,0
33,61,1.86732e+06,0,0,0,2376162,0,0,0
32,62,531588,0,0,0,2376162,0,0,0
31,63,1.16357e+06,0,0,0,2376162,0,0,0
30,64,456671,0,0,0,2376162,0,0,0
29,65,915698,0,0,0,2376162,0,0,0
28,66,839093,0,0,0,2376162,0,0,0
27,67,1.53338e+06,0,0,0,2376162,0,0,0
26,68,231902,0,0,0,2376162,0,0,0
25,69,868066,0,0,0,2376162,0,0,0
24,70,422544,0,0,0,2376162,0,0,0
23,71,286703,0,0,0,2376162,0,0,0
22,72,1.4082e+06,0,0,0,2376162,0,0,0
21,73,1.81943e+06,0,0,0,2376162,0,0,0
20,74,577234,0,0,0,2376162,0,0,0
19,75,987484,0,0,0,2376162,0,0,0
18,76,6.2273,0,0,0,2376162,0,0,0
17,77,1.1784e+06,0,0,0,2376162,0,0,0
16,78,1.15775e+06,0,0,0,2376162,0,0,0
15,79,1.30576e+06,0,0,0,2376162,0,0,0
14,80,435906,0,0,0,2376162,0,0,0
13,81,1.44823e+06,0,0,0,2376162,0,0,0
12,82,984893,0,0,0,2376162,0,0,0
11,83,1.1.221e+06,0,0,0,2376162,0,0,0
10,84,623585,0,0,0,2376162,0,0,0
9,85,209486,0,0,0,2376162,0,0,0
8,86,1.29168e+06,0,0,0,2376162,0,0,0
7,87,1.03555e+06,0,0,0,2376162,0,0,0
6,88,1.44016e+06,0,0,0,2376162,0,0,0
5,89,811868,0,0,0,2376162,0,0,0
4,90,2.29222e+06,0,0,0,2376162,0,0,0
3,91,340888,0,0,0,2376162,0,0,0
2,92,1.56556e+06,0,0,0,2376162,0,0,0
1,93,1.31042e+06,0,0,0,2376162,0,0,0
